Name
Carex scirpoidea Michx. 1803
Carex scirpoidea f. basigyna Lange 1890
Carex scirpoidea var. convoluta Kük. 1909
Carex scirpoidea subsp. convoluta (Kük.) Dunlop 1997
Carex scirpoidea var. curatorum (Stacey) Cronquist 1977
Carex scirpoidea var. europaea Kük. 1909
Carex scirpoidea var. gigas Holm 1904
Carex scirpoidea var. pseudoscirpoidea (Rydb.) Cronquist 1969
Carex scirpoidea subsp. pseudoscirpoidea (Rydb.) Dunlop 1997
Carex scirpoidea var. scirpiformis (Mack.) O'Neill & Duman 1941
Carex scirpoidea var. scirpoidea
Carex scirpoidea subsp. scirpoidea
Carex scirpoidea subsp. stenochlaena (Holm) Á.Löve & D.Löve 1964
Carex scirpoidea var. stenochlaena Holm 1904
