Name
Imperata cylindrica (L.) Raeuschel
Imperata cylindrica (L.)
Imperata Cylindrica
Andropogon appendiculatus Nees
Cymbopogon marginatus (Steud.) Stapf ex Burtt Davy
Hyparrhenia hirta (L.) Stapf
Heteropogon contortus (L.) Roem. & Schult.
Themeda triandra Forssk.
Pennisetum clandestinum Chiov.
Pennisetum macrourum Trin.
Pennisetum thunbergii Kunth
Ehrharta bulbosa J.E. Sm
Ehrharta calycina J.E. Sm
Anthoxanthum tongo (Trin.) Stapf
Poagrostis pusilla (Nees) Stapf
Helictotrichon dodii (Stapf) Schweick.
