"gbifID","species","decimalLongitude","decimalLatitude"
462153087,"Pentameris barbata",22.875,-34.125
453319523,"Pentameris barbata",NA,NA
453319541,"Pentameris barbata",18.875,-33.875
462153055,"Pentameris barbata",18.625,-34.125
462153073,"Pentameris barbata",18.375,-33.375
453319524,"Pentameris barbata",18.875,-34.375
453319542,"Pentameris barbata",18.375,-33.875
453319560,"Pentameris barbata",18.375,-33.375
462153056,"Pentameris barbata",18.625,-33.875
462153074,"Pentameris barbata",18.375,-33.375
453319525,"Pentameris barbata",18.375,-33.875
453319543,"Pentameris barbata",18.375,-33.875
453319561,"Pentameris barbata",18.125,-32.875
462153057,"Pentameris barbata",18.375,-33.625
462153075,"Pentameris barbata",18.875,-34.125
453319528,"Pentameris barbata",18.375,-33.375
453319546,"Pentameris barbata",18.625,-33.625
462153078,"Pentameris barbata",19.125,-33.125
453319531,"Pentameris barbata",18.375,-32.375
462153081,"Pentameris barbata",18.375,-33.875
462153199,"Pentameris barbata",23.125,-34.125
685237207,"Pentameris barbata",18.375,-33.625
453319527,"Pentameris barbata",18.375,-33.375
453319545,"Pentameris barbata",19.375,-33.875
462153059,"Pentameris barbata",18.625,-33.625
462153077,"Pentameris barbata",27.875,-28.625
453319533,"Pentameris barbata",18.625,-33.625
453319551,"Pentameris barbata",18.375,-33.125
462153065,"Pentameris barbata",18.875,-33.875
462153083,"Pentameris barbata",18.375,-33.875
453319535,"Pentameris barbata",18.125,-33.125
453319553,"Pentameris barbata",18.125,-32.875
462153049,"Pentameris barbata",19.125,-32.375
462153067,"Pentameris barbata",18.375,-33.875
462153085,"Pentameris barbata",NA,NA
411964657,"Pentameris barbata",NA,NA
411874580,"Pentameris barbata",NA,NA
411966650,"Pentameris barbata",NA,NA
411966651,"Pentameris barbata",NA,NA
412070988,"Pentameris barbata",NA,NA
411966652,"Pentameris barbata",NA,NA
411967741,"Pentameris barbata",NA,NA
412276586,"Pentameris barbata",NA,NA
411874578,"Pentameris barbata",NA,NA
412330507,"Pentameris barbata",NA,NA
411966649,"Pentameris barbata",NA,NA
411967732,"Pentameris barbata",NA,NA
412211325,"Pentameris barbata",NA,NA
411967734,"Pentameris barbata",NA,NA
411993375,"Pentameris barbata",NA,NA
411967735,"Pentameris barbata",NA,NA
1055934452,"Pentameris barbata",25.092539,-28.99853
237342413,"Pentameris barbata",NA,NA
864891585,"Pentameris barbata",NA,NA
2242786404,"Pentameris barbata",18.419442,-34.318367
912548268,"Pentameris barbata",NA,NA
